Date,Open,Close,High,Low
2024-09-11,29950,29950,30000,29550
2024-09-10,30200,29800,30300,29800
2024-09-09,29850,30300,30300,29550
2024-09-06,30500,30150,30650,30000
2024-09-05,31100,30500,31400,30350
2024-09-04,31400,30950,31500,30500
2024-09-03,32200,32050,32350,31850
2024-09-02,32100,32150,32400,31750
2024-08-30,32300,32000,32300,31750
2024-08-29,31950,32100,32350,31900
2024-08-28,32750,32200,32800,31950
2024-08-27,32600,32900,33000,32500
2024-08-26,32400,32750,32900,32050
2024-08-23,31550,32150,32350,31500
2024-08-22,31950,31650,31950,31250
2024-08-21,31400,31950,32250,31150
2024-08-20,31000,31400,31850,30850
2024-08-19,30850,30850,31200,30550
2024-08-16,31100,30750,31150,30750
2024-08-14,31050,30800,31100,30550
2024-08-13,31500,30750,31500,30550
2024-08-12,30950,31400,31450,30750
2024-08-09,31450,30950,31500,30850
2024-08-08,29850,31200,31200,29500
2024-08-07,29700,29900,30300,29600
2024-08-06,30000,29950,30900,29700
2024-08-05,32150,29650,32250,29050
2024-08-02,32750,32400,32900,32250
2024-08-01,33450,33150,33500,32850
2024-07-31,32950,33450,34150,32750
2024-07-30,32900,32900,33150,32650
2024-07-29,33050,33200,33650,32650
2024-07-26,32100,32950,33200,32050
2024-07-25,31950,32150,32300,31900
2024-07-24,32250,32050,32450,32000
2024-07-23,33000,32300,33100,32300
2024-07-22,32550,33000,33150,32300
2024-07-19,33100,32600,33100,32450
2024-07-18,34800,33400,34850,32850
2024-07-17,33150,34450,34900,33100
2024-07-16,33150,32850,33450,32650
2024-07-15,32100,32900,33000,32100
2024-07-12,32350,31950,32900,31700
2024-07-11,31950,32150,32150,31750
2024-07-10,32200,31800,32250,31700
2024-07-09,32000,32100,32400,31950
2024-07-08,31800,31850,32000,31750
2024-07-05,31850,31900,32150,31750
2024-07-04,32200,31850,32300,31700
2024-07-03,32200,32200,32650,32100
2024-07-02,33000,32200,33050,32200
2024-07-01,32050,33200,33250,32000
2024-06-28,31900,32050,32200,31800
2024-06-27,31600,31700,31700,31450
2024-06-26,32000,31750,32050,31650
2024-06-25,32150,32050,32300,31800
2024-06-24,32300,31950,32350,31950
2024-06-21,32500,32300,32650,32300
2024-06-20,32100,32400,32650,32050
2024-06-19,32150,32050,32550,32000
2024-06-18,32250,31950,32300,31900
2024-06-17,32750,32150,32900,32100
2024-06-14,32450,32600,32650,32250
2024-06-13,32800,32450,33350,32450
2024-06-12,33000,32650,33200,32600
2024-06-11,33200,32900,33600,32800
2024-06-10,33000,33100,33300,32700
2024-06-07,33100,33050,33450,33050
2024-06-05,33400,33100,33400,33100
2024-06-04,33500,33200,33750,33150
2024-06-03,33450,33850,33950,33350
2024-05-31,33500,33200,33850,33050
2024-05-30,33750,33350,33950,33300
2024-05-29,34250,34050,34600,33850
2024-05-28,34550,34500,34750,34250
2024-05-27,33550,34800,34900,33550
2024-05-24,33500,33500,33800,33450
2024-05-23,33750,33950,34000,33550
2024-05-22,33800,33750,34100,33500
2024-05-21,33950,33800,34000,33650
2024-05-20,34400,34100,34650,33950
2024-05-17,34900,34250,34950,34200
2024-05-16,35450,35100,35600,34700
2024-05-14,35000,35100,35550,34800
2024-05-13,34950,34800,35000,34550
2024-05-10,35550,34800,35800,34750
2024-05-09,35650,35350,36000,35250
2024-05-08,35600,35700,35850,35300
2024-05-07,35250,35600,35650,35150
2024-05-03,35500,35250,35500,35100
2024-05-02,35300,35400,35550,35050
2024-04-30,35350,35450,35750,35100
2024-04-29,34700,35400,35500,34650
2024-04-26,34550,34600,34850,34400
2024-04-25,34350,34800,34850,34250
2024-04-24,34300,34600,34800,34000
2024-04-23,34000,34200,34200,33700
2024-04-22,33600,34000,34150,33450
2024-04-19,32000,33250,33450,31600
2024-04-18,31700,32400,32400,31500
2024-04-17,31550,31350,31750,31200
2024-04-16,32150,31500,32300,31450
2024-04-15,32400,32350,32650,32200
2024-04-12,33150,32700,33200,32600
2024-04-11,32650,33400,33400,32550
2024-04-09,32950,33000,33400,32800
2024-04-08,32600,32700,32950,32550
2024-04-05,32300,32700,33000,32200
2024-04-04,32850,32650,32850,32350
2024-04-03,32850,32650,33350,32550
2024-04-02,33050,32950,33150,32700
2024-04-01,33050,33200,33300,32900
2024-03-29,33300,33000,33450,33000
2024-03-28,33400,33250,33400,33150
2024-03-27,33100,33250,33450,33050
2024-03-26,33350,33100,33550,33100
2024-03-25,33850,33350,33900,33250
2024-03-22,34400,34100,34450,33950
2024-03-21,34100,34300,34500,34000
2024-03-20,33900,33700,34150,33500
2024-03-19,34150,33750,34600,33750
2024-03-18,34500,34400,34550,34000
2024-03-15,34000,34500,34800,33800
2024-03-14,33200,34000,34000,33050
2024-03-13,33600,33250,33600,33250
2024-03-12,33900,33500,33900,33400
2024-03-11,34000,33700,34200,33700
2024-03-08,33700,34100,34100,33450
2024-03-07,33900,33300,34000,33300
2024-03-06,33700,33750,34100,33550
2024-03-05,33750,33700,34150,33650
2024-03-04,34550,33850,34600,33800
2024-02-29,34250,34700,34700,33700
2024-02-28,33850,34250,34450,33500
2024-02-27,34600,33800,34800,33800
2024-02-26,35050,34350,35500,34150
2024-02-23,34100,33650,34150,33650
2024-02-22,34100,33900,34150,33650
2024-02-21,34000,33750,34100,33600
2024-02-20,34700,33800,34800,33700
2024-02-19,34600,34800,35350,34100
2024-02-16,33500,33750,33900,33250
2024-02-15,33550,33200,33600,33200
2024-02-14,33750,33400,33800,33200
2024-02-13,34200,34000,34900,33950
2024-02-08,33950,33950,34200,33600
2024-02-07,33850,33850,33950,33450
2024-02-06,34900,33700,35100,33600
2024-02-05,34400,35150,35200,34100
2024-02-02,35250,34400,35250,33900
2024-02-01,34300,35050,35050,34200
2024-01-31,33600,34650,34650,33450
2024-01-30,34400,33800,34600,33650
2024-01-29,33100,34250,34500,33000
2024-01-26,32000,33100,33400,31950
2024-01-25,31250,32050,32350,31200
2024-01-24,32200,31400,32300,31300
2024-01-23,32100,32050,32300,31350
2024-01-22,33100,32050,33200,31950
2024-01-19,33150,33000,33300,32500
2024-01-18,32750,32800,33250,32600
2024-01-17,33700,32800,33750,32700
2024-01-16,33950,33750,34200,33600
2024-01-15,34500,34050,34650,33800
2024-01-12,34550,34550,34950,34350
2024-01-11,34750,34350,34900,34350
2024-01-10,34300,34700,34800,34100
2024-01-09,33750,34200,34350,33650
2024-01-08,33650,33450,34050,33450
2024-01-05,34250,33850,34450,33750
2024-01-04,34650,34250,34650,34200
2024-01-03,34300,34550,34700,34300
2024-01-02,34500,34550,34700,34200
2023-12-28,34800,34900,34900,33950
2023-12-27,34950,34950,35150,34700
2023-12-26,35050,34950,35150,34800
2023-12-22,35000,34750,35050,34700
2023-12-21,34900,34800,35000,34650
2023-12-20,34850,34900,35150,34800
2023-12-19,35400,34700,35400,34550
2023-12-18,35900,35400,35900,35400
2023-12-15,36150,35950,36200,35650
2023-12-14,35850,35850,36050,35750
2023-12-13,36000,35300,36050,35200
2023-12-12,36150,36000,36350,36000
2023-12-11,36250,36000,36300,35750
2023-12-08,36350,36100,36450,36050
2023-12-07,36450,36300,36750,36100
2023-12-06,35500,36700,36900,35400
2023-12-05,35450,35350,35700,35150
2023-12-04,36200,35550,36250,35450
2023-12-01,36250,35850,36700,35800
2023-11-30,35800,35850,36050,35600
2023-11-29,37500,35850,37500,35750
2023-11-28,37250,37300,37300,36900
2023-11-27,36900,37050,37450,36850
2023-11-24,37400,36850,37450,36800
2023-11-23,37450,37300,37650,37050
2023-11-22,37000,37050,37250,36850
2023-11-21,37350,37350,37800,37100
2023-11-20,36800,36850,37000,36600
