Date,Open,Close,High,Low
2024-09-03,244000,237500,244500,236000
2024-09-02,256000,246000,256000,245000
2024-08-30,261000,255500,265500,255500
2024-08-29,261500,258500,267000,256000
2024-08-28,249500,259000,261000,246000
2024-08-27,248500,247500,251000,244500
2024-08-26,255500,249500,258000,247500
2024-08-23,245500,252500,254000,245000
2024-08-22,253500,248000,254000,245500
2024-08-21,257500,252500,257500,251000
2024-08-20,258000,256000,261000,255000
2024-08-19,256000,255000,259500,250000
2024-08-16,248000,255000,256500,246500
2024-08-14,245500,241000,248000,238500
2024-08-13,242000,243000,245500,240000
2024-08-12,246000,243500,249000,242000
2024-08-09,240500,243000,248000,240000
2024-08-08,231500,236500,240000,228500
2024-08-07,233000,236000,241000,231500
2024-08-06,233500,235000,241500,228000
2024-08-05,236000,224000,239500,216500
2024-08-02,242500,244000,248000,242000
2024-08-01,251000,253500,258500,251000
2024-07-31,250000,249000,253500,247500
2024-07-30,253000,250000,258000,249500
2024-07-29,244000,255500,260000,243000
2024-07-26,248500,243500,250500,232000
2024-07-25,253000,251500,255000,247500
2024-07-24,259500,258500,263500,257500
2024-07-23,258000,263500,264500,257500
2024-07-22,259000,255000,261500,251000
2024-07-19,258500,258500,259500,254000
2024-07-18,267000,260500,267500,256500
2024-07-17,275500,268500,275500,268000
2024-07-16,270500,274500,276000,270000
2024-07-15,273000,268500,273500,267500
2024-07-12,277500,271500,278500,268000
2024-07-11,277000,278500,278500,274500
2024-07-10,275000,274500,277500,272500
2024-07-09,284000,274500,285500,272500
2024-07-08,282000,283000,289500,281000
2024-07-05,277500,281000,282000,277000
2024-07-04,277500,277500,281000,274500
2024-07-03,275000,276000,281500,272500
2024-07-02,283000,272500,283500,271000
2024-07-01,292000,286000,296000,285500
2024-06-28,299500,295000,299500,293000
2024-06-27,287000,298000,298500,286500
2024-06-26,289000,289500,293500,286500
2024-06-25,281000,288500,292500,280000
2024-06-24,277000,281000,283000,275500
2024-06-21,283500,280000,285000,279000
2024-06-20,285500,285500,288000,282500
2024-06-19,286500,286500,292500,284000
2024-06-18,280500,283000,290000,278500
2024-06-17,276000,278500,285000,275500
2024-06-14,268500,268000,274000,267000
2024-06-13,273000,269000,281000,269000
2024-06-12,273000,270000,273000,268000
2024-06-11,270500,271000,273500,267500
2024-06-10,261500,267500,271500,261000
2024-06-07,262500,265000,266500,261500
2024-06-05,261000,264000,267500,256500
2024-06-04,262500,259000,265500,258000
2024-06-03,257500,265000,270000,257000
2024-05-31,259500,253000,260000,253000
2024-05-30,260500,257000,264000,255500
2024-05-29,262500,261000,265000,257000
2024-05-28,265000,265000,270000,263500
2024-05-27,267500,265500,271500,262000
2024-05-24,268500,267500,274500,266000
2024-05-23,273500,271500,275000,267500
2024-05-22,253000,277000,277500,251000
2024-05-21,249000,253000,254000,248000
2024-05-20,245500,250500,255000,244500
2024-05-17,247000,244000,249500,244000
2024-05-16,248000,247000,248500,245500
2024-05-14,245500,246500,247000,243000
2024-05-13,242500,245000,247500,242000
2024-05-10,239000,241500,243000,237000
2024-05-09,242000,237000,242500,235000
2024-05-08,240500,242000,244000,240000
2024-05-07,242500,242000,246000,240000
2024-05-03,250000,241000,250500,241000
2024-05-02,249000,249000,251500,246500
2024-04-30,250000,251000,253000,248000
2024-04-29,249000,251500,254500,245500
2024-04-26,250000,249500,253500,243000
2024-04-25,251000,250000,254000,246000
2024-04-24,249000,252500,253500,247500
2024-04-23,250000,249500,251500,246000
2024-04-22,240000,245000,246000,239500
2024-04-19,231000,235000,237000,229000
2024-04-18,237000,231000,239000,228500
2024-04-17,242000,233500,243000,233500
2024-04-16,239000,242000,244500,236500
2024-04-15,236000,241500,243000,233500
2024-04-12,241000,238000,241500,237000
2024-04-11,222000,241000,241000,220000
2024-04-09,234500,228000,236500,228000
2024-04-08,227000,232500,238000,226000
2024-04-05,223500,225500,230000,223000
2024-04-04,218500,226000,228500,216500
2024-04-03,219000,216000,223500,214500
2024-04-02,225000,220000,226500,216500
2024-04-01,234500,227500,235000,227000
2024-03-29,238000,233000,239000,232000
2024-03-28,246000,237000,246000,236000
2024-03-27,241000,244000,247500,240500
2024-03-26,239000,240500,244000,238500
2024-03-25,244000,239500,245500,239500
2024-03-22,252500,243500,254000,241000
2024-03-21,247000,252000,254000,246000
2024-03-20,240000,241000,246000,237500
2024-03-19,241000,237500,244000,236000
2024-03-18,244000,242500,247500,241000
2024-03-15,250000,243500,254500,243500
2024-03-14,248000,251500,255000,246000
2024-03-13,243500,248500,250000,241000
2024-03-12,244000,241500,247000,240000
2024-03-11,251000,243500,252500,242000
2024-03-08,251500,253000,255000,249500
2024-03-07,252500,250000,258000,247500
2024-03-06,247000,251000,254000,246000
2024-03-05,251500,249000,254500,247500
2024-03-04,255500,255500,260000,253000
2024-02-29,246500,250500,253500,243500
2024-02-28,234000,248000,250000,231500
2024-02-27,239000,238500,244500,237500
2024-02-26,237500,239000,241000,231500
2024-02-23,244000,244000,249500,242000
2024-02-22,239000,243500,245500,237500
2024-02-21,242000,239500,246000,237500
2024-02-20,250000,242000,253000,238500
2024-02-19,253500,252500,257000,248500
