Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2001-07-19,3330,3540,3310,3540,2678.735596,37325000,2580.364095,2568.256689
2001-07-20,3520,3600,3470,3520,2663.601563,29625000,2625.766439,2586.417676
2001-07-23,3500,3500,3430,3460,2618.198242,21275000,2653.5118,2604.578418
2001-07-24,3400,3510,3400,3470,2625.766602,21480000,2635.855469,2624.252832
2001-07-25,3460,3590,3440,3570,2701.436523,20905000,2648.467122,2657.547705
2001-07-26,3590,3650,3590,3630,2746.838623,21865000,2691.347249,2671.168311
2001-07-27,3730,3790,3690,3710,2807.375,28800000,2751.883382,2699.922998
2001-07-30,3760,3780,3690,3710,2807.375,20055000,2787.196208,2737.75835
2001-07-31,3740,3810,3720,3790,2867.911865,22230000,2827.553955,2786.187402
2001-08-01,3830,3990,3810,3960,2996.551514,57875000,2890.612793,2845.2104
2001-08-02,4020,4040,3880,3910,2958.716797,31790000,2941.060059,2887.586035
2001-08-03,4000,4020,3950,3990,3019.252441,32795000,2991.506917,2929.961523
2001-08-06,3930,4000,3900,3980,3011.686035,16130000,2996.551758,2970.82373
2001-08-07,3880,3900,3810,3860,2920.880859,22085000,2983.939778,2981.417529
2001-08-08,3820,3840,3740,3800,2875.478516,13405000,2936.015137,2957.20293
2001-08-09,3690,3730,3660,3660,2769.540527,29170000,2855.299967,2919.367676
2001-08-10,3710,3780,3710,3730,2822.509277,11580000,2822.50944,2880.019043
2001-08-13,3770,3830,3750,3830,2898.179932,18640000,2830.076579,2857.317822
2001-08-14,3900,3960,3870,3950,2988.985107,21220000,2903.224772,2870.938672
2001-08-15,3950,3950,3950,3950,2988.985107,0,2958.716715,2893.63999
2001-08-16,3840,3900,3820,3900,2951.149414,18330000,2976.373209,2929.961767
2001-08-17,3900,3960,3870,3920,2966.283447,17745000,2968.805989,2958.716601
2001-08-20,3800,3830,3780,3800,2875.478516,9435000,2930.970459,2954.176318
2001-08-21,3820,3850,3700,3720,2814.942383,21735000,2885.568115,2919.367773
2001-08-22,3630,3850,3630,3850,2913.314697,21770000,2867.911865,2904.233691
2001-08-23,3870,3910,3800,3850,2913.314697,14945000,2880.523926,2896.666748
2001-08-24,3840,3880,3780,3840,2905.747314,7515000,2910.792236,2884.559521
2001-08-27,3960,4020,3920,3980,3011.686035,37955000,2943.582682,2911.801025
2001-08-28,4000,4000,3930,3940,2981.417725,20535000,2966.283691,2945.096094
2001-08-29,3900,3970,3860,3930,2973.850586,19135000,2988.984782,2957.203271
2001-08-30,3840,3940,3840,3920,2966.283447,12585000,2973.850586,2967.797021
2001-08-31,3860,3880,3750,3800,2875.478516,25845000,2938.537516,2961.743262
2001-09-03,3810,3820,3750,3760,2845.210693,10450000,2895.657552,2928.448193
2001-09-04,3760,3940,3750,3930,2973.850586,18775000,2898.179932,2926.934766
2001-09-05,3840,3850,3750,3790,2867.911865,21020000,2895.657715,2905.747021
2001-09-06,3800,3850,3760,3770,2852.77832,17490000,2898.180257,2883.045996
2001-09-07,3760,3820,3690,3820,2890.613037,22835000,2870.434407,2886.0729
2001-09-10,3770,3830,3730,3830,2898.179932,14000000,2880.523763,2896.666748
2001-09-11,3800,3850,3720,3740,2830.076416,15810000,2872.956462,2867.911914
2001-09-12,3200,3460,3200,3230,2444.156738,84970000,2724.137695,2783.160889
2001-09-13,3360,3460,3320,3430,2595.498291,59745000,2623.243815,2731.704883
2001-09-14,3440,3450,3290,3390,2565.229736,33175000,2534.961588,2666.628223
2001-09-17,3300,3360,3240,3280,2481.992188,28450000,2547.573405,2583.390674
2001-09-18,3390,3400,3300,3350,2534.962158,24870000,2527.394694,2524.367822
2001-09-19,3300,3340,3260,3280,2481.992188,21555000,2499.648845,2531.934912
2001-09-20,3200,3200,3030,3080,2330.651123,61380000,2449.201823,2478.965479
2001-09-21,2900,2940,2790,2850,2156.609131,65415000,2323.084147,2397.241358
2001-09-24,2850,2850,2850,2850,2156.609131,0,2214.623128,2332.164746
2001-09-25,3060,3070,2860,2860,2164.176025,42065000,2159.131429,2258.00752
2001-09-26,2820,2870,2790,2830,2141.475098,33275000,2154.086751,2189.904102
2001-09-27,2760,2810,2680,2810,2126.341064,36500000,2143.997396,2149.04209
2001-09-28,2810,2810,2810,2810,2126.341064,0,2131.385742,2142.988476
2001-10-01,2810,2810,2810,2810,2126.341064,0,2126.341064,2136.934863
2001-10-02,2810,2810,2810,2810,2126.341064,0,2126.341064,2129.367871
2001-10-03,2810,2810,2810,2810,2126.341064,0,2126.341064,2126.341064
2001-10-04,3000,3000,2860,2910,2202.011475,64925000,2151.564534,2141.475146
2001-10-05,2920,2970,2870,2950,2232.279541,40035000,2186.87736,2162.662842
2001-10-08,2940,2960,2890,2920,2209.579102,19935000,2214.623373,2179.310449
2001-10-09,2960,3060,2960,3030,2292.81665,39630000,2244.891764,2212.605566
2001-10-10,2990,3010,2960,2980,2254.980957,16855000,2252.458903,2238.333545
2001-10-11,3080,3200,3070,3180,2406.321777,58170000,2318.039795,2279.195605
2001-10-12,3320,3340,3250,3260,2466.858398,47265000,2376.053711,2326.111377
2001-10-15,3200,3240,3180,3200,2421.456299,17425000,2431.545491,2368.486816
2001-10-16,3160,3230,3160,3180,2406.321777,15620000,2431.545491,2391.187842
2001-10-17,3260,3300,3230,3280,2481.992188,28595000,2436.590088,2436.590088
2001-10-18,3230,3260,3170,3260,2466.858398,21850000,2451.724121,2448.697412
2001-10-19,3300,3410,3260,3400,2572.796631,41555000,2507.215739,2469.885059
2001-10-22,3460,3470,3330,3390,2565.229736,18730000,2534.961588,2498.639746
2001-10-23,3500,3530,3450,3480,2633.333984,39580000,2590.45345,2544.042187
2001-10-24,3560,3710,3550,3710,2807.375,56115000,2668.64624,2609.11875
2001-10-25,3700,3700,3620,3660,2769.540527,27610000,2736.749837,2669.655176
2001-10-26,3660,3690,3580,3620,2739.272705,47820000,2772.062744,2702.95039
2001-10-29,3660,3700,3610,3680,2784.674561,25480000,2764.495931,2746.839355
2001-10-30,3540,3580,3470,3480,2633.333984,33825000,2719.09375,2746.839355
2001-10-31,3410,3480,3410,3470,2625.766602,28980000,2681.258382,2710.517676
2001-11-01,3540,3630,3480,3580,2709.00415,34295000,2656.034912,2698.4104
2001-11-02,3630,3670,3630,3660,2769.540527,37920000,2701.437093,2704.463965
2001-11-05,3670,3700,3620,3700,2799.808105,30180000,2759.450927,2707.490674
2001-11-06,3780,3830,3760,3800,2875.478516,53010000,2814.942383,2755.91958
2001-11-07,3820,3830,3770,3810,2883.04541,44265000,2852.777344,2807.375342
2001-11-08,3810,3870,3800,3860,2920.880859,37600000,2893.134928,2849.750683
2001-11-09,3860,3860,3860,3860,2920.880859,0,2908.269043,2880.01875
